epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1153.16,1.42607,0.74568,1.17371,0.96452,0.96414,0.97807,0.58246,0.41764,0.23388,0.38681,0.00955072,0.00955072,0.00955072
43,1178.84,1.41241,0.75315,1.10982,0.96255,0.97211,0.97295,0.5795,0.42873,0.50319,0.39191,0.00952889,0.00952889,0.00952889
44,1204.19,1.46302,0.72167,1.14736,0.96684,0.96813,0.97106,0.54245,0.4412,0.44355,0.39897,0.00950658,0.00950658,0.00950658
45,1230.78,1.47898,0.72318,1.16784,0.95528,0.93607,0.97207,0.59998,0.43193,0.19767,0.39212,0.00948377,0.00948377,0.00948377
46,1255.71,1.42008,0.73522,1.1466,0.9554,0.93878,0.97146,0.56812,0.4255,0.28147,0.38913,0.00946048,0.00946048,0.00946048
47,1279.95,1.39888,0.74002,1.12933,0.99099,0.96016,0.98196,0.59832,0.41026,0.23663,0.38018,0.00943671,0.00943671,0.00943671
48,1302.75,1.3717,0.72649,1.11386,0.93517,0.96813,0.96866,0.56554,0.41758,0.38704,0.38563,0.00941245,0.00941245,0.00941245
49,1325.45,1.52196,0.72129,1.23654,0.9561,0.95457,0.96483,0.57521,0.41671,0.3068,0.38179,0.00938772,0.00938772,0.00938772
50,1351.66,1.413,0.73671,1.14272,0.95979,0.95093,0.95887,0.58178,0.42067,0.32295,0.38845,0.00936251,0.00936251,0.00936251
51,1379.28,1.48045,0.7563,1.16758,0.96005,0.95747,0.9782,0.5714,0.42705,0.32674,0.38499,0.00933683,0.00933683,0.00933683
52,1407.86,1.36689,0.75046,1.0907,0.95287,0.96813,0.96833,0.58498,0.41146,0.40845,0.38165,0.00931067,0.00931067,0.00931067
53,1437.79,1.45213,0.72027,1.1774,0.94944,0.97264,0.97338,0.58347,0.43632,0.27768,0.39028,0.00928405,0.00928405,0.00928405
54,1465.66,1.3177,0.71898,1.09137,0.9639,0.95753,0.96716,0.59384,0.40775,0.20334,0.3808,0.00925697,0.00925697,0.00925697
55,1497.72,1.42772,0.72117,1.16256,0.96481,0.95219,0.966,0.60353,0.40931,0.24295,0.3811,0.00922942,0.00922942,0.00922942
56,1529.04,1.29306,0.66095,1.05582,0.96525,0.95219,0.95955,0.59283,0.41093,0.31572,0.38141,0.00920142,0.00920142,0.00920142
57,1560.43,1.39236,0.67344,1.11566,0.96057,0.9707,0.98614,0.62689,0.40714,0.25042,0.37821,0.00917296,0.00917296,0.00917296
58,1592.09,1.39412,0.71063,1.1313,0.97316,0.95618,0.97735,0.61413,0.39078,0.25929,0.3745,0.00914405,0.00914405,0.00914405
