epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1891.98,1.27666,0.57725,1.30708,0.96586,0.98304,0.99252,0.68299,1.0749,0.4405,1.23943,0.00955072,0.00955072,0.00955072
43,1937.08,1.25732,0.57666,1.30429,0.97019,0.97394,0.99165,0.69038,1.07049,0.43766,1.23828,0.00952889,0.00952889,0.00952889
44,1982.49,1.25664,0.56094,1.29619,0.97754,0.97828,0.99346,0.69265,1.06498,0.42068,1.23272,0.00950658,0.00950658,0.00950658
45,2026.48,1.27304,0.568,1.3038,0.9868,0.9737,0.99365,0.69871,1.06101,0.41313,1.23537,0.00948377,0.00948377,0.00948377
46,2071.14,1.25274,0.55581,1.27399,0.97958,0.97611,0.99389,0.70248,1.06071,0.4235,1.23489,0.00946048,0.00946048,0.00946048
47,2115.21,1.23527,0.55455,1.28732,0.97047,0.97937,0.99246,0.68876,1.06822,0.42895,1.23416,0.00943671,0.00943671,0.00943671
48,2159.56,1.24112,0.55814,1.29298,0.97186,0.98263,0.99219,0.69133,1.06965,0.4235,1.23035,0.00941245,0.00941245,0.00941245
49,2203.75,1.21079,0.5646,1.27573,0.9439,0.98652,0.98479,0.69445,1.03871,0.45681,1.21341,0.00938772,0.00938772,0.00938772
50,2247.76,1.23787,0.56495,1.29658,0.97863,0.97503,0.99334,0.70754,1.0384,0.41536,1.21138,0.00936251,0.00936251,0.00936251
51,2293.06,1.20464,0.54906,1.25607,0.98349,0.97394,0.99395,0.7025,1.03976,0.40289,1.21356,0.00933683,0.00933683,0.00933683
52,2338.03,1.19472,0.54854,1.2605,0.98243,0.97611,0.99395,0.70917,1.02837,0.40184,1.20832,0.00931067,0.00931067,0.00931067
53,2382.76,1.19059,0.54043,1.25846,0.98897,0.97349,0.99418,0.70671,1.04798,0.39959,1.21677,0.00928405,0.00928405,0.00928405
